#,Company,Symbol,Weight,Price,Change
355,Cadence Design Systems Inc.,CDNS,0.055427,44.82,-1.44
356,Take-Two Interactive Software Inc.,TTWO,0.054793,108.0,-5.05
357,Mosaic Company,MOS,0.054429,36.3,-0.33
358,Dover Corporation,DOV,0.054365,85.29,-1.13
359,J.M. Smucker Company,SJM,0.054335,114.2,1.32
360,Noble Energy Inc.,NBL,0.05415,25.15,-1.37
361,Xylem Inc.,XYL,0.054036,68.99,-1.89
362,Arista Networks Inc.,ANET,0.053859,235.05,-9.38
363,Advance Auto Parts Inc.,AAP,0.05368,167.1,-4.08
364,Expeditors International of Washington Inc.,EXPD,0.053204,70.63,-1.1
365,Broadridge Financial Solutions Inc.,BR,0.053181,106.07,-1.14
366,C.H. Robinson Worldwide Inc.,CHRW,0.05298,88.15,-1.46
367,Cincinnati Financial Corporation,CINF,0.05242,80.27,-1.05
368,Lennar Corporation Class A,LEN,0.05211,40.68,-1.22
369,Equifax Inc.,EFX,0.052045,100.38,-1.74
370,Cboe Global Markets Inc,CBOE,0.051715,107.6,-1.3
371,CF Industries Holdings Inc.,CF,0.051631,51.27,-0.95
372,Chipotle Mexican Grill Inc.,CMG,0.051623,489.3,-1.46
373,Akamai Technologies Inc.,AKAM,0.051554,69.1,-1.84
374,Hormel Foods Corporation,HRL,0.051507,45.0,-0.02
375,Vornado Realty Trust,VNO,0.051374,70.17,0.11
376,Tiffany & Co.,TIF,0.051263,109.1,-1.26
377,Tapestry Inc.,TPR,0.051213,41.27,-0.73
378,Molson Coors Brewing Company Class B,TAP,0.05056,65.99,1.49
379,Tractor Supply Company,TSCO,0.050235,96.19,-0.94
380,D.R. Horton Inc.,DHI,0.050057,33.89,-0.51
381,WestRock Company,WRK,0.049782,44.79,-1.02
382,Eastman Chemical Company,EMN,0.049737,81.63,-1.19
383,CarMax Inc.,KMX,0.0496,65.1,-0.62
384,NRG Energy Inc.,NRG,0.049442,40.0,1.72
385,Incyte Corporation,INCY,0.049226,62.86,-3.17
386,Macy's Inc,M,0.04904,37.0,-0.78
387,Martin Marietta Materials Inc.,MLM,0.048967,181.5,-2.79
388,Mid-America Apartment Communities Inc.,MAA,0.04847,100.98,0.46
